Date,State,Thermal,Hydro,Gas/Diesel/Naptha,Wind,Solar,Others,Demand Met,Shortage,tempmax_c1,tempmin_c1,temp_c1,humidity_c1,precip_c1,windspeed_c1,winddir_c1,cloudcover_c1,solarradiation_c1,solarenergy_c1,sunrise_c1,sunset_c1,tempmax_c2,tempmin_c2,temp_c2,humidity_c2,precip_c2,windspeed_c2,winddir_c2,cloudcover_c2,solarradiation_c2,solarenergy_c2,sunrise_c2,sunset_c2,tempmax_c3,tempmin_c3,temp_c3,humidity_c3,precip_c3,windspeed_c3,winddir_c3,cloudcover_c3,solarradiation_c3,solarenergy_c3,sunrise_c3,sunset_c3,tempmax_c4,tempmin_c4,temp_c4,humidity_c4,precip_c4,windspeed_c4,winddir_c4,cloudcover_c4,solarradiation_c4,solarenergy_c4,sunrise_c4,sunset_c4
05-06-2023,RAJASTHAN,156.33,0.24,3.18,8.33,26.3,4.77,253.15,0,38.7,26.7,33.9,37.8,0,16.6,291.6,14.4,329.9,28.3,2023-06-05 5:32:35,2023-06-05 19:30:12,36.2,26,31.6,48.9,0,11.2,308.9,16.1,326.7,28.3,2023-06-05 5:32:33,2023-06-05 19:18:07,40.3,26.9,33.4,46.4,13.4,36.7,168.6,27.9,313.8,27.1,2023-06-05 5:52:08,2023-06-05 19:37:41,39.1,29.5,34.3,32.5,0.3,17.3,300.8,9.4,328.6,28.3,2023-06-05 5:36:08,2023-06-05 19:14:10
04-06-2023,RAJASTHAN,147.09,0,3.2,20.47,27.36,4.93,214.37,0,37.1,25.2,32.3,42.7,0,22.3,322.3,37.2,322.3,27.8,2023-06-04 5:32:44,2023-06-04 19:29:43,34,26,29.9,50.2,0,22.3,282.3,66.5,214.1,18.4,2023-06-04 5:32:40,2023-06-04 19:17:40,37.6,22.3,32.7,48.1,0,28.4,183.2,13.3,325.5,28,2023-06-04 5:52:15,2023-06-04 19:37:14,38.1,29.1,32.6,40.9,2.1,26.6,259.6,48.3,197,17.2,2023-06-04 5:36:14,2023-06-04 19:13:44
03-06-2023,RAJASTHAN,165.44,0,3.12,11.58,24.83,4.61,250.75,0,35.7,21.4,30.3,45.6,0.1,9.7,12.5,3.8,332.8,28.6,2023-06-03 5:32:54,2023-06-03 19:29:13,37,27,31.8,55.9,0,37.1,308.5,43.9,326.4,28.2,2023-06-03 5:32:48,2023-06-03 19:17:12,39.5,28.9,34.5,43.4,0,19.1,208.9,21.1,326.7,28.2,2023-06-03 5:52:23,2023-06-03 19:36:46,40.7,29.1,34.7,44.4,0.3,23,313.1,34.3,323.8,27.9,2023-06-03 5:36:20,2023-06-03 19:13:18
02-06-2023,RAJASTHAN,159.87,0,3.24,7.44,25.83,4.57,239.77,0,33.5,21.7,28,55.2,2.4,14.8,311.3,18.5,328.8,28.5,2023-06-02 5:33:06,2023-06-02 19:28:43,35,24.6,30,62.9,0,14.8,307.3,49.5,323.7,28,2023-06-02 5:32:57,2023-06-02 19:16:44,38,27,32.5,50.5,0,31,40,29.8,326.8,28.2,2023-06-02 5:52:32,2023-06-02 19:36:18,38.9,27.5,33.5,47.4,0.9,28.1,323.3,28.9,302.8,26,2023-06-02 5:36:28,2023-06-02 19:12:51
01-06-2023,RAJASTHAN,143.6,0,3.07,11.34,21.66,4.62,216.33,0,31.7,19.1,25.6,63,3.6,21.2,36.3,52.5,325.8,28.1,2023-06-01 5:33:19,2023-06-01 19:28:12,34,21,27.4,65.8,3,25.9,70.1,44.1,325.3,28,2023-06-01 5:33:08,2023-06-01 19:16:16,37.9,24.2,31.3,55.8,0.4,25.6,206.4,30.8,282.3,24.3,2023-06-01 5:52:43,2023-06-01 19:35:49,39.1,27.1,34.2,35.5,1.3,18.7,283.8,12.7,328.5,28.4,2023-06-01 5:36:37,2023-06-01 19:12:24
31-05-2023,RAJASTHAN,136.69,0,3.27,9.64,27.12,4.65,219.68,0,29.2,20.4,24.9,68.2,6.6,27.4,323.2,72.1,241.6,20.8,2023-05-31 5:33:34,2023-05-31 19:27:40,31.3,22,27.3,62.3,0,22.3,283.8,31,325.5,28.1,2023-05-31 5:33:20,2023-05-31 19:15:46,34.2,22.6,29.1,54.1,0,18,207.9,14.6,328.1,28.4,2023-05-31 5:52:55,2023-05-31 19:35:20,37.4,24.2,31.4,41.2,0.2,19.1,283,12.9,327.6,28.4,2023-05-31 5:36:48,2023-05-31 19:11:56
30-05-2023,RAJASTHAN,136.19,0,2.92,13.67,17.87,4.94,205.16,0,33.5,21.6,27.7,57.8,21.9,32.4,310.4,69.3,303.9,26.3,2023-05-30 5:33:50,2023-05-30 19:27:08,31,24.9,28.1,60,0,24.1,281.1,46.9,315.6,27.2,2023-05-30 5:33:33,2023-05-30 19:15:17,33.2,19,26.6,59.6,14.8,42.8,63.5,72.4,188.3,16.3,2023-05-30 5:53:08,2023-05-30 19:34:50,36.2,22.4,30.5,47.9,0.9,15.5,292.3,28.6,325.6,28.1,2023-05-30 5:36:59,2023-05-30 19:11:28
29-05-2023,RAJASTHAN,139.36,0,2.95,14.04,23.95,4.83,204.7,0,32.6,22.4,27.5,59.2,2.4,18,135.3,86.2,183.2,15.8,2023-05-29 5:34:07,2023-05-29 19:26:35,31.5,23,27.3,60,0,14.8,83,53.3,147.1,12.6,2023-05-29 5:33:48,2023-05-29 19:14:46,35.4,22.1,30,54.1,3.3,39.2,135.2,41.7,325.6,28,2023-05-29 5:53:23,2023-05-29 19:34:20,36.4,25.2,30.9,44.7,2.7,23,255.3,57.4,244.5,21.2,2023-05-29 5:37:12,2023-05-29 19:11:00
28-05-2023,RAJASTHAN,125.73,0.05,2.91,23.57,11.03,4.97,214.36,0.55,37.4,23,30.3,53.2,13.1,38.9,92.2,68.2,293,25.3,2023-05-28 5:34:26,2023-05-28 19:26:01,33,21.3,27.3,66.2,30,24.1,324.6,71.3,313.7,27.1,2023-05-28 5:34:04,2023-05-28 19:14:16,40.6,22.3,32.7,52,0.9,36.4,192.7,75.5,289.3,24.9,2023-05-28 5:53:38,2023-05-28 19:33:50,38.8,26.3,31.2,46.5,2.8,62.6,277.7,47.7,281.1,24.1,2023-05-28 5:37:26,2023-05-28 19:10:31
27-05-2023,RAJASTHAN,118.67,0.04,2.99,31.77,19.38,4.98,230.66,0,35.2,20.2,28.9,60,3.4,31.3,95.1,19.1,324.1,28,2023-05-27 5:34:46,2023-05-27 19:25:27,32,22,28.2,65.5,0,27.7,81.9,34.4,283.3,24.5,2023-05-27 5:34:21,2023-05-27 19:13:45,40,27,33.9,48.4,0,46.4,220.4,11.4,331.3,28.6,2023-05-27 5:53:56,2023-05-27 19:33:19,38.6,29.1,33.2,42.6,0.6,34.2,243,11.9,324.8,28,2023-05-27 5:37:42,2023-05-27 19:10:02
26-05-2023,RAJASTHAN,113.52,0,2.99,42.98,23.57,4.84,195.06,0,37.6,21.4,28.5,57.5,14.5,60.8,128.5,52.2,288.3,24.9,2023-05-26 5:35:08,2023-05-26 19:24:53,31,19,25.3,76.1,13,27.7,216.6,42.1,323.8,28.1,2023-05-26 5:34:39,2023-05-26 19:13:14,43.1,27,34.7,46.4,0,49.7,216.7,5.8,332.8,28.7,2023-05-26 5:54:14,2023-05-26 19:32:48,38.3,21.4,31.8,46.4,7,56.2,256.2,45.3,324,27.9,2023-05-26 5:37:58,2023-05-26 19:09:32
