Date,State,Thermal,Hydro,Gas/Diesel/Naptha,Wind,Solar,Others,Demand Met,Shortage,tempmax_c1,tempmin_c1,temp_c1,humidity_c1,precip_c1,windspeed_c1,winddir_c1,cloudcover_c1,solarradiation_c1,solarenergy_c1,sunrise_c1,sunset_c1,tempmax_c2,tempmin_c2,temp_c2,humidity_c2,precip_c2,windspeed_c2,winddir_c2,cloudcover_c2,solarradiation_c2,solarenergy_c2,sunrise_c2,sunset_c2,tempmax_c3,tempmin_c3,temp_c3,humidity_c3,precip_c3,windspeed_c3,winddir_c3,cloudcover_c3,solarradiation_c3,solarenergy_c3,sunrise_c3,sunset_c3,tempmax_c4,tempmin_c4,temp_c4,humidity_c4,precip_c4,windspeed_c4,winddir_c4,cloudcover_c4,solarradiation_c4,solarenergy_c4,sunrise_c4,sunset_c4
05-06-2023,TAMILNADU,79.15,4.74,5.36,87.80,30.00,9.76,378.23,0.00,40,23.9,31.1,64.3,0,22.3,256.9,44.1,300.3,25.9,2023-06-05 5:55:41,2023-06-05 18:36:20,39.3,27.5,32.7,45.9,0.6,23,281.3,74.7,269.9,23.2,2023-06-05 5:46:26,2023-06-05 18:37:32,36,26,29.7,68.4,0,25.9,206.8,42.3,306.5,26.5,2023-06-05 5:58:28,2023-06-05 18:42:49,40,29.3,32.3,67.2,0.549,20.6,228.8,50.9,282.3,24.3,2023-06-05 5:41:32,2023-06-05 18:33:14
04-06-2023,TAMILNADU,76.00,7.06,5.36,72.24,29.60,8.39,356.79,0.19,40,28,32.1,60.1,0,11.2,303.6,32.5,280.9,24.4,2023-06-04 5:55:37,2023-06-04 18:36:04,34,29.5,31.5,47.3,0.2,30.6,278.4,81.1,179.9,15.8,2023-06-04 5:46:24,2023-06-04 18:37:14,35,26,30,69,0,24.1,212.8,50.2,259.1,22.4,2023-06-04 5:58:24,2023-06-04 18:42:32,38,30.4,33.8,64.1,0,25.9,244.4,25,237.5,20.4,2023-06-04 5:41:30,2023-06-04 18:32:56
03-06-2023,TAMILNADU,86.58,7.42,5.41,62.25,30.40,8.45,388.00,0.07,40,26.8,32.8,57.4,1.7,17.6,299.4,28.1,287.1,24.6,2023-06-03 5:55:33,2023-06-03 18:35:47,40.5,29,34.4,39.4,0.5,25.9,284.1,95.5,274.5,23.9,2023-06-03 5:46:22,2023-06-03 18:36:56,36,25.9,29.7,71.5,0,18.4,215.5,39.9,277.1,23.8,2023-06-03 5:58:21,2023-06-03 18:42:16,38.8,29.9,33.4,65.6,0,27.7,220.3,35.8,294.6,25.5,2023-06-03 5:41:28,2023-06-03 18:32:38
02-06-2023,TAMILNADU,87.25,6.73,5.22,60.93,27.00,8.92,386.13,0.14,37,27,31.9,58.3,0.3,13,309.3,46.8,267.9,23,2023-06-02 5:55:30,2023-06-02 18:35:31,40.4,27.6,34,42,0,30.6,291.5,63.7,285.4,24.7,2023-06-02 5:46:21,2023-06-02 18:36:38,35,25,27.9,75.4,5,25.9,207.4,62.7,264.5,22.8,2023-06-02 5:58:19,2023-06-02 18:41:59,41.4,29.7,33.5,61.2,0,32.7,244.7,38.3,292.8,25.2,2023-06-02 5:41:27,2023-06-02 18:32:20
01-06-2023,TAMILNADU,91.14,5.42,5.31,63.34,30.00,9.40,389.39,0.00,38,26,31.5,64.4,2,18.4,277.9,36.8,304.5,26.4,2023-06-01 5:55:28,2023-06-01 18:35:15,39.1,28.6,33,45.1,0.4,33.5,280.8,85.9,284.7,24.6,2023-06-01 5:46:20,2023-06-01 18:36:20,34.2,25.6,29.3,69.7,0.1,25.9,210.6,53.5,307.3,26.5,2023-06-01 5:58:17,2023-06-01 18:41:42,37,29.5,32.4,71.8,0.1,23.1,227.9,32.4,279.2,24.1,2023-06-01 5:41:27,2023-06-01 18:32:02
31-05-2023,TAMILNADU,90.23,6.31,5.27,20.77,29.30,7.71,374.58,0.00,38,26,30.9,66,1,29.5,305.8,51.5,290.5,25.1,2023-05-31 5:55:26,2023-05-31 18:35:00,38.3,27.2,32.5,47.8,0.1,12.2,152.3,79.6,311.9,27.1,2023-05-31 5:46:21,2023-05-31 18:36:02,34.8,26,29.3,70,0.1,20.5,210.4,70.1,238.8,20.6,2023-05-31 5:58:16,2023-05-31 18:41:26,35.3,28.1,31.3,72.6,0,19.6,218.6,27.4,291.5,25.2,2023-05-31 5:41:27,2023-05-31 18:31:44
30-05-2023,TAMILNADU,90.01,6.68,4.72,17.83,28.60,6.94,380.34,0.00,39,26,30.9,71.3,0.4,18.4,81.4,45.2,277.1,23.9,2023-05-30 5:55:25,2023-05-30 18:34:44,38.4,25.6,31.6,56.3,10.3,33.5,143,70.6,282.1,24.4,2023-05-30 5:46:22,2023-05-30 18:35:44,36,25,29.3,65.2,0,18.4,212.1,52,245.5,21.2,2023-05-30 5:58:16,2023-05-30 18:41:09,34.4,28.7,31,76.1,0,26.3,222.1,40.6,289.4,24.8,2023-05-30 5:41:29,2023-05-30 18:31:25
29-05-2023,TAMILNADU,83.95,8.68,4.87,7.23,26.00,5.68,374.29,0.51,39,27,30.8,67.6,7,35.3,309.6,44.7,290.5,25,2023-05-29 5:55:25,2023-05-29 18:34:28,39.1,28.3,33.4,44.6,0,24.1,157.8,58.2,317.1,27.3,2023-05-29 5:46:24,2023-05-29 18:35:26,35.8,26,29.5,68.6,0,25.9,198.9,51,301,25.9,2023-05-29 5:58:17,2023-05-29 18:40:53,36.6,29.9,32.3,75.2,0,21.1,187.5,41.8,316.1,27.2,2023-05-29 5:41:31,2023-05-29 18:31:07
28-05-2023,TAMILNADU,67.56,8.06,4.63,25.90,26.30,6.01,345.21,0.41,38,27.1,31.8,63.8,12,17.3,286.6,36.2,273.8,23.6,2023-05-28 5:55:25,2023-05-28 18:34:13,39.5,28.8,33.7,39.5,0.7,27.4,273.4,58.4,251.7,21.7,2023-05-28 5:46:27,2023-05-28 18:35:08,35.2,25.9,29.7,70.5,0,18.4,200.6,42.8,266.3,22.8,2023-05-28 5:58:18,2023-05-28 18:40:36,37,30.3,32.5,72.4,0,21.4,232.8,46.6,258.8,22.4,2023-05-28 5:41:34,2023-05-28 18:30:49
27-05-2023,TAMILNADU,70.84,10.36,4.54,35.69,31.30,5.56,369.78,0.33,39,25.8,31.8,62.7,4.5,20.5,336.4,34.4,296.9,25.7,2023-05-27 5:55:26,2023-05-27 18:33:57,39.1,28,32.4,46.7,0.5,23.8,271.6,53.5,210.4,18.3,2023-05-27 5:46:31,2023-05-27 18:34:50,35.1,24.8,29.5,66.5,0,24.1,211.8,38.9,303.9,26.1,2023-05-27 5:58:20,2023-05-27 18:40:20,36.6,29.1,32.5,66.2,0,23.9,259.4,37.2,285.8,24.7,2023-05-27 5:41:38,2023-05-27 18:30:31
26-05-2023,TAMILNADU,72.96,6.41,4.69,64.99,27.20,6.54,375.45,0.13,39,27,31.7,58.2,0.3,22.3,336.7,39.5,290.2,25.1,2023-05-26 5:55:28,2023-05-26 18:33:42,39.3,27,31.3,52.7,0.9,26.3,261.3,90.9,228,19.7,2023-05-26 5:46:36,2023-05-26 18:34:33,34,25.8,28.9,72.7,0,27.7,218.5,40.6,275.3,23.6,2023-05-26 5:58:23,2023-05-26 18:40:04,37.8,30.1,32.4,67.1,0,22.3,270.7,45.1,279.9,24.2,2023-05-26 5:41:43,2023-05-26 18:30:14
25-05-2023,TAMILNADU,77.59,5.24,4.88,64.69,31.30,6.77,385.35,0.00,39,27,32,60.6,0.4,14.8,278.4,30.6,301.7,26,2023-05-25 5:55:31,2023-05-25 18:33:27,39.9,29.3,33.4,44.3,0.3,34.2,276.2,58.8,296,25.6,2023-05-25 5:46:41,2023-05-25 18:34:15,35,25,28.9,73,0,25.9,220,37.9,300.5,25.9,2023-05-25 5:58:27,2023-05-25 18:39:48,36.5,29.6,32.4,69,0,18.1,243.5,41.9,309.7,26.7,2023-05-25 5:41:48,2023-05-25 18:29:56
24-05-2023,TAMILNADU,85.80,7.24,4.87,39.23,31.60,7.50,384.27,0.00,38,27,31.9,63.1,0,14.8,162.5,29.1,309.7,26.9,2023-05-24 5:55:35,2023-05-24 18:33:13,39.5,28.8,33.7,46.7,1.4,17.3,258.1,31.1,316.4,27.3,2023-05-24 5:46:47,2023-05-24 18:33:58,35.2,26,29.3,70.6,0,26.5,214.2,41.3,309.9,26.9,2023-05-24 5:58:31,2023-05-24 18:39:33,36.5,29.5,32.4,70.4,0,18.9,210.9,29.9,310.8,26.8,2023-05-24 5:41:55,2023-05-24 18:29:38
23-05-2023,TAMILNADU,86.81,6.13,4.91,14.66,30.70,7.35,382.89,0.00,37,26,30.8,69.8,0,20.5,168.8,37.3,312.6,26.9,2023-05-23 5:55:39,2023-05-23 18:32:58,39.3,27.8,32.9,49.1,0.3,19.4,160.7,52.9,309.3,26.6,2023-05-23 5:46:54,2023-05-23 18:33:40,35.2,25,29.6,67,0.5,24.1,213.4,45.6,302.1,26.1,2023-05-23 5:58:37,2023-05-23 18:39:17,35.7,29.1,32,72.6,0,22.3,255.5,28.8,310,26.6,2023-05-23 5:42:02,2023-05-23 18:29:21
22-05-2023,TAMILNADU,65.53,9.57,4.85,13.44,26.80,8.04,360.68,0.27,38,26.8,30.6,70.5,0,29.5,137,48.9,247.9,21.4,2023-05-22 5:55:44,2023-05-22 18:32:44,37.8,28.5,32.4,56.5,0.7,23,150.3,12.5,318.8,27.5,2023-05-22 5:47:02,2023-05-22 18:33:23,36,24.7,28.7,65.5,0,25.9,211.7,51.2,308.4,26.6,2023-05-22 5:58:43,2023-05-22 18:39:02,34.3,29.5,31.5,79.3,0,16,213.5,46.4,313.9,27.1,2023-05-22 5:42:10,2023-05-22 18:29:03
21-05-2023,TAMILNADU,81.00,8.57,4.87,27.42,27.10,8.11,350.10,0.06,39,27,31.7,65.1,0,16.6,128.2,26.4,301.7,26.2,2023-05-21 5:55:50,2023-05-21 18:32:30,37.9,26.8,31.9,57.6,7.5,21.2,137.2,29.4,316.3,27.5,2023-05-21 5:47:11,2023-05-21 18:33:06,35.1,26,29.9,72.1,0,20.7,197.8,43.6,296.7,25.6,2023-05-21 5:58:50,2023-05-21 18:38:47,34.5,28,31.6,77.2,0,19.2,246.2,53.8,313.9,27,2023-05-21 5:42:19,2023-05-21 18:28:46
20-05-2023,TAMILNADU,79.91,7.03,4.77,32.71,28.10,14.76,387.65,0.00,39,26.2,31.9,65.1,0,13,154.8,29.5,312.8,27.2,2023-05-20 5:55:57,2023-05-20 18:32:16,40.9,27.4,34,48.1,13.3,18,176.9,36.8,303.1,26,2023-05-20 5:47:21,2023-05-20 18:32:50,35,25.9,29.2,77.6,0,21.5,211.1,47.2,302.3,26.1,2023-05-20 5:58:57,2023-05-20 18:38:32,35.8,29.2,31.8,78.4,0,24.2,236.2,26.6,317.3,27.2,2023-05-20 5:42:29,2023-05-20 18:28:29
19-05-2023,TAMILNADU,81.44,6.59,5.00,30.33,27.60,15.16,391.25,0.00,38,27,31.2,68,0,18.4,166.8,36.3,273.8,23.6,2023-05-19 5:56:04,2023-05-19 18:32:03,40.5,28.2,33.6,47.2,0,20.5,147.6,13.1,321.1,27.7,2023-05-19 5:47:32,2023-05-19 18:32:33,35,25.6,28.9,74.6,2,19.5,209.4,46.8,295.5,25.6,2023-05-19 5:59:06,2023-05-19 18:38:18,35.4,29.4,31.8,76.8,0,23.5,231.2,26.5,318.1,27.5,2023-05-19 5:42:40,2023-05-19 18:28:13
